usuario,id_filme,nota
1,4571,4
1,2139,4
1,4632,2
1,1570,3
1,3591,4
1,4435,2
1,2411,2
1,3539,2
1,3677,1
1,4666,5
1,425,1
1,4118,3
1,3931,2
1,160,2
1,970,3
1,4349,4
1,3868,1
1,1328,3
1,3396,4
1,287,3
1,256,4
1,926,4
1,1672,3
1,3504,5
1,3051,3
1,1007,3
1,390,3
1,1892,5
1,2224,2
1,2422,5
1,2483,4
1,2065,3
1,1078,2
1,4928,1
1,4877,2
1,355,5
1,3223,2
1,3965,3
1,2247,1
1,2810,4
1,3457,1
1,4577,2
1,3284,3
1,3066,3
1,1351,3
1,2465,2
1,317,1
1,3096,2
1,1162,5
1,1033,1
1,958,1
1,2651,2
1,2820,4
1,4894,2
2,1515,3
2,749,4
2,557,2
2,3870,5
2,1941,3
2,1173,4
2,3796,3
2,4053,5
2,1287,3
2,3487,5
2,2218,2
2,4392,5
2,4470,1
2,2019,5
2,2839,1
2,4553,2
2,2630,2
2,2632,1
2,4540,4
2,2661,5
2,1401,4
2,1483,5
2,4788,5
2,2501,1
2,1396,2
2,2837,3
2,1147,5
2,2562,5
2,831,2
2,3327,5
2,948,4
2,4116,1
2,2685,4
2,4008,1
2,3017,3
2,689,5
2,3676,5
2,546,3
2,449,3
2,2753,3
2,428,1
2,4335,3
2,387,2
2,2976,4
2,2528,4
2,4910,2
2,760,5
2,2117,4
2,3672,5
2,3721,1
2,2518,1
2,2206,2
2,3864,2
2,1887,1
2,3000,2
2,1760,5
2,2922,5
2,1157,3
2,2438,4
2,3592,5
2,4333,1
2,2424,1
2,919,5
2,3779,2
2,976,5
2,2920,4
2,4757,5
2,2460,1
2,4679,3
2,3764,3
2,1634,5
2,2130,1
2,2371,1
2,4941,5
2,1665,5
2,301,2
2,2731,1
2,1896,4
2,4001,4
2,4183,5
2,4378,1
2,249,3
2,1821,3
2,1600,2
2,1023,5
2,4341,4
2,1784,4
2,3452,5
2,682,2
2,563,2
2,1647,3
2,1964,1
2,4270,3
2,4923,5
2,1493,5
2,3499,1
2,307,4
2,4203,1
2,3887,3
2,4146,2
2,4383,2
2,1435,4
2,4562,1
2,560,1
2,2889,1
2,1427,5
2,3932,2
2,4451,5
2,3893,1
2,1609,1
2,79,2
2,2337,5
2,4546,2
2,3562,5
2,1507,4
2,2589,3
2,513,2
2,2568,3
2,1488,3
2,1002,1
2,3647,2
2,2505,4
2,3348,1
2,2677,5
2,1743,1
2,2683,5
2,1855,3
2,3954,5
2,4194,1
2,410,5
2,832,1
2,4625,1
2,880,3
2,2919,3
2,3481,1
2,3919,2
2,1541,3
2,2397,2
2,2288,4
2,3126,2
2,4068,4
2,718,1
2,3926,3
2,3627,5
